"ID","Name","FeetAfterInscr","Measurement_m","Foot_m"
"1","Wall L",4,1.3,0.325
"2","Wall W",2,0.664,0.332
"3","Wall H",1.5,0.49,0.327
"4","Epikranitis L",4,1.3,0.325
"5","Epikranitis W",3,0.912,0.304
"6","Epikranitis H",1.5,0.491,0.327
"7","Architrave L",8,2.608,0.326
"8","Architrave W",2.25,0.77,0.342
"9","Architrave H",2,0.633,0.317
"10","Kariatid porch roof block L",13,3.89,0.299
"11","Kariatid porch roof block W",5,1.648,0.33
"12","East frieze block L",4,1.94,0.485
"13","East frieze block W",1,0.285,0.285
"14","East frieze block H",2,0.617,0.309
"15","North frieze block W",1,0.298,0.298
"16","North frieze block H",2,0.683,0.342
"17","Geison block L",4,1.297,0.324
"18","Geison block W",3,0.96,0.32
"19","Geison block H",1.25,0.284,0.227
